episode,timestep,reward
1198,1174000,-907.5
1200,1176000,-890.5
1202,1178000,-997.0
1204,1180000,-766.5
1206,1182000,-884.0
1208,1184000,-910.0
1210,1186000,-998.0
1212,1188000,-992.5
1214,1190000,-674.0
1216,1192000,-875.0
1218,1194000,-930.0
1220,1196000,-945.0
1222,1198000,-663.0
1224,1200000,-986.0
1226,1202000,-917.0
1228,1204000,-871.0
1230,1206000,-975.5
1232,1208000,-989.0
1234,1210000,-705.5
1236,1212000,-990.0
1238,1214000,-987.5
1240,1216000,-691.5
1242,1218000,-508.5
1244,1220000,-587.0
1246,1222000,-940.0
1248,1224000,-968.5
1250,1226000,-895.5
1252,1228000,-547.5
1254,1230000,-914.5
1256,1232000,-428.5
1258,1234000,-783.0
1260,1236000,-775.5
1262,1238000,-830.0
1265,1240000,-544.0
1267,1242000,-646.5
1269,1244000,-393.0
1271,1246000,-847.5
1273,1248000,-929.5
1275,1250000,-967.0
1277,1252000,-967.0
1279,1254000,-968.5
1281,1256000,-976.0
1283,1258000,-973.5
1285,1260000,-949.0
1287,1262000,-984.5
1289,1264000,-947.5
1291,1266000,-962.5
1293,1268000,-966.5
1295,1270000,-966.5
1297,1272000,-961.5
1299,1274000,-981.5
1301,1276000,-978.5
1303,1278000,-954.0
1305,1280000,-980.5
1307,1282000,-983.5
1309,1284000,-965.5
1311,1286000,-982.0
1313,1288000,-933.5
1315,1290000,-943.5
1317,1292000,-801.0
1319,1294000,-933.5
1321,1296000,-995.0
1323,1298000,-928.5
1325,1300000,-979.0
1327,1302000,-760.0
1329,1304000,-469.5
1331,1306000,-939.0
1333,1308000,-914.0
1335,1310000,-976.5
1337,1312000,-922.5
1339,1314000,-914.5
1341,1316000,-792.0
1343,1318000,-858.5
1345,1320000,-841.0
1347,1322000,-935.0
1349,1324000,-813.5
1351,1326000,-786.0
1353,1328000,-995.0
1355,1330000,-821.0
1357,1332000,-993.0
1359,1334000,-865.5
1361,1336000,-825.5
1363,1338000,-751.5
1365,1340000,-992.0
1367,1342000,-585.0
1369,1344000,-870.5
1371,1346000,-818.5
1373,1348000,-856.5
1375,1350000,-697.5
1377,1352000,-769.0
1379,1354000,-770.5
1381,1356000,-732.5
1383,1358000,-563.5
1385,1360000,-198.0
1387,1362000,-352.5
1389,1364000,-581.0
1391,1366000,-426.5
1393,1368000,-455.5
1395,1370000,-713.5
1397,1372000,-650.5
1399,1374000,-453.0
1401,1376000,-206.0
1403,1378000,-998.0
1405,1380000,-614.0
1407,1382000,-533.0
1409,1384000,-581.0
1411,1386000,-719.0
1413,1388000,-406.0
1415,1390000,-246.0
1417,1392000,-243.5
1419,1394000,-221.0
1421,1396000,-999.5
1423,1398000,-498.5
1425,1400000,-164.0
1427,1402000,-284.0
1429,1404000,-270.0
1431,1406000,-198.5
1433,1408000,-600.0
1435,1410000,-176.0
1437,1412000,-186.5
1439,1414000,-559.5
1441,1416000,-433.0
1443,1418000,-144.0
1445,1420000,-479.5
1447,1422000,-154.0
1449,1424000,-155.5
1451,1426000,-205.5
1453,1428000,-488.5
1455,1430000,-98.5
1457,1432000,-85.5
1459,1434000,-79.5
1461,1436000,-65.0
1463,1438000,-972.5
1465,1440000,-57.5
1467,1442000,-62.0
1469,1444000,-74.0
1471,1446000,-460.0
1473,1448000,-466.5
1475,1450000,-30.5
1477,1452000,-39.0
1479,1454000,-390.5
1482,1456000,-188.6667
1485,1458000,-48.3333
1487,1460000,-21.5
1489,1462000,-107.0
1491,1464000,-463.0
1493,1466000,-437.5
1495,1468000,-97.0
1497,1470000,-28.5
1499,1472000,-134.0
1501,1474000,-43.0
1503,1476000,-46.0
1505,1478000,-48.0
1507,1480000,-26.5
1509,1482000,-21.5
1511,1484000,-17.0
1513,1486000,-12.5
1515,1488000,-9.5
1517,1490000,-8.0
1519,1492000,-10.5
1521,1494000,-9.0
1523,1496000,-6.0
1525,1498000,-5.0
1527,1500000,-3.5
1529,1502000,-5.0
1531,1504000,-4.5
1533,1506000,-3.5
1535,1508000,-92.5
1537,1510000,-2.5
1539,1512000,-2.0
1541,1514000,-4.5
1543,1516000,-5.0
1545,1518000,-3.5
1547,1520000,-262.5
1549,1522000,-2.0
1551,1524000,-2.5
1553,1526000,-3.0
1555,1528000,-3.0
1557,1530000,-3.0
1559,1532000,-3.5
1561,1534000,-3.0
1563,1536000,-2.5
1565,1538000,-2.0
1567,1540000,-5.0
1569,1542000,-4.0
1571,1544000,-2.0
1573,1546000,-0.5
1575,1548000,-2.0
1577,1550000,-1.5
1579,1552000,-3.5
1581,1554000,-1.5
1583,1556000,-2.0
1585,1558000,-2.0
1587,1560000,-1.0
1589,1562000,-488.5
1591,1564000,-1.0
1593,1566000,-1.0
1595,1568000,-1.0
1597,1570000,-1.5
1599,1572000,-255.0
1601,1574000,-325.0
1603,1576000,-1.0
1605,1578000,-459.5
1607,1580000,-380.5
1609,1582000,-1.5
1611,1584000,-1.0
1614,1586000,-229.0
1616,1588000,-948.0
1619,1590000,-577.3333
1622,1592000,-223.0
1624,1594000,-69.5
1626,1596000,-246.5
1628,1598000,-906.5
1630,1600000,-361.0
1632,1602000,-0.5
1634,1604000,-44.0
1636,1606000,-45.5
1638,1608000,-588.5
1640,1610000,-453.5
1642,1612000,-467.0
1646,1614000,-257.0
1648,1616000,-426.0
1650,1618000,-489.5
1653,1620000,-1.0
1655,1622000,-228.0
1658,1624000,-310.6667
1662,1626000,-109.75
1664,1628000,-168.5
1666,1630000,-769.5
1668,1632000,-574.5
1670,1634000,-488.0
1672,1636000,-7.0
1674,1638000,-6.0
1676,1640000,-5.5
1678,1642000,-7.5
1680,1644000,-150.0
1682,1646000,-338.5
1684,1648000,-4.0
1686,1650000,-3.0
1688,1652000,-4.5
1690,1654000,-358.5
1692,1656000,-1.0
1694,1658000,-72.0
1696,1660000,-2.0
1698,1662000,-430.5
1701,1664000,-571.6667
1703,1666000,-544.5
1705,1668000,-188.0
1707,1670000,-448.0
1710,1672000,-413.6667
1712,1674000,-762.0
1714,1676000,-273.5
1716,1678000,-3.5
1718,1680000,-437.0
1720,1682000,-1.5
1722,1684000,-464.5
1724,1686000,-353.0
1726,1688000,-273.5
1728,1690000,-2.0
1730,1692000,-248.0
1732,1694000,-1.5
1734,1696000,-2.0
1736,1698000,-0.5
1738,1700000,-777.5
1740,1702000,-1.5
1742,1704000,-299.5
1744,1706000,-276.5
1746,1708000,-1.5
1749,1710000,-119.3333
1751,1712000,-3.0
1753,1714000,-1.5
1755,1716000,-351.0
1757,1718000,-394.5
1759,1720000,-30.0
1761,1722000,-8.5
1763,1724000,-7.0
1765,1726000,-6.0
1767,1728000,-3.5
1769,1730000,-4.0
1771,1732000,-449.5
1774,1734000,-2.0
1776,1736000,-4.5
1778,1738000,-5.5
1780,1740000,-4.0
1782,1742000,-4.5
1784,1744000,-3.5
1786,1746000,-1.5
1788,1748000,-2.0
1790,1750000,-302.5
1792,1752000,-3.5
1794,1754000,-2.0
1796,1756000,-1.0
1798,1758000,-1.0
1800,1760000,-98.0
1802,1762000,-172.0
1804,1764000,-4.5
1806,1766000,-378.5
1808,1768000,-3.0
1810,1770000,-4.0
1812,1772000,-2.5
1814,1774000,-3.5
1816,1776000,-2.5
1818,1778000,-481.5
1820,1780000,-2.0
1822,1782000,-463.0
1824,1784000,-2.5
1826,1786000,-649.5
1828,1788000,-202.0
1830,1790000,-374.5
1833,1792000,-2.6667
1835,1794000,-2.0
1837,1796000,-76.0
1839,1798000,-500.5
1841,1800000,-469.0
1843,1802000,-218.5
1845,1804000,-3.0
1847,1806000,-401.0
1849,1808000,-370.5
1851,1810000,-1.5
1853,1812000,-300.5
1855,1814000,-336.5
1857,1816000,-2.0
1859,1818000,-184.5
1861,1820000,-2.5
1863,1822000,-1.0
1865,1824000,-2.0
1867,1826000,-477.5
1869,1828000,-2.0
1872,1830000,-245.6667
1874,1832000,-455.5
1876,1834000,-436.5
1878,1836000,-347.0
1881,1838000,-306.0
1884,1840000,-258.0
1886,1842000,-218.5
1888,1844000,-2.5
1890,1846000,-466.5
1892,1848000,-519.0
1894,1850000,-3.0
1896,1852000,-431.0
1898,1854000,-138.5
1900,1856000,-394.5
1902,1858000,-454.5
1904,1860000,-575.5
1906,1862000,-723.0
1908,1864000,-560.0
1910,1866000,-14.5
1912,1868000,-214.5
1914,1870000,-544.5
1918,1872000,-489.75
1921,1874000,-629.0
1923,1876000,-383.5
1925,1878000,-831.5
1930,1880000,-269.0
1933,1882000,-429.6667
1935,1884000,-304.5
1938,1886000,-277.3333
1940,1888000,-7.5
1942,1890000,-679.5
1944,1892000,-826.5
1946,1894000,-911.0
1948,1896000,-661.5
1950,1898000,-575.0
1952,1900000,-835.0
1954,1902000,-688.0
1956,1904000,-619.0
1958,1906000,-849.5
1960,1908000,-839.5
1963,1910000,-5.6667
1966,1912000,-317.3333
1969,1914000,-114.3333
1971,1916000,-976.5
1973,1918000,-413.5
1975,1920000,-2.0
1977,1922000,-535.5
1979,1924000,-407.5
1981,1926000,-9.0
1983,1928000,-10.5
1985,1930000,-118.5
1987,1932000,-8.0
1989,1934000,-9.5
1991,1936000,-7.5
1993,1938000,-8.0
1995,1940000,-6.0
1997,1942000,-436.0
